component_id,lot_id,device_type,parameter,time_hours,value,unit,temperature_c,voltage_v,spec_min,spec_max,label,data_origin
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,11.183613,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,3.800814,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.013965,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.054251,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C002,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.26372,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.830148,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,11.051686,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,11.068096,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,11.251149,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.327069,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.506548,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.741286,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C003,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.214223,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.39249,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.788966,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.945909,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,11.441092,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.435514,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.591875,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,5.155126,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C004,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.600453,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.777365,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,9.871927,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,9.928662,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,9.97605,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.348378,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.248573,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.145825,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C005,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.143885,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.894301,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,9.571694,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.045126,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.20087,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.699992,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.726169,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.821948,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C006,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.04077,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.159426,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.266555,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.186548,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.447569,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.396768,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.535176,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,5.228297,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C007,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.632656,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.522947,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.337326,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.726664,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.891742,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.408668,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.599491,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,5.004465,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C008,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.267754,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.73571,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.833436,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.790191,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.891318,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.143166,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.198925,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.601699,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C009,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.788801,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.875591,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.017353,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.16499,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.456996,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.044818,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.212682,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.312139,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C010,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.688864,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.386466,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.255355,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.767317,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.949245,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.673202,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.59208,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.620487,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C011,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.868327,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.586295,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.770243,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.873886,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.673922,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.661776,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.64403,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.771125,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C012,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.794423,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.805837,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,9.741012,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,9.979425,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.294899,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,3.956073,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,3.944046,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.186925,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C013,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.522965,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.354839,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,9.550421,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,11.024042,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,12.220682,uA,125.0,3.3,0.0,50.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,3.962304,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.309094,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,5.6676,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C014,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,7.43545,uA,125.0,3.3,0.0,20.0,defective,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.296127,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.652784,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.58351,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.880729,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.562059,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.601245,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.727921,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C015,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,5.109956,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.346188,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,9.490498,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,9.580652,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,9.815142,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.071424,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.101695,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.38601,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C016,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.727155,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.451311,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.585048,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.901138,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,11.137008,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.007069,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,3.969738,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.271293,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C017,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.369356,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,9.633206,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.008982,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.398248,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,10.591158,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.186602,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.166009,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,3.973964,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C018,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,3.973157,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,0,10.906179,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,24,10.840966,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,96,10.88151,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,Iddq,168,11.099339,uA,125.0,3.3,0.0,50.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,0,4.182472,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,24,4.092471,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,96,4.266217,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
L01-C019,LOT-01,SYNTH-SPACE-ASIC-A,LeakageCurrent,168,4.349287,uA,125.0,3.3,0.0,20.0,healthy,SYNTHETIC_DEMONSTRATION_ONLY
